,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LINGO1,816.8512662814832,2.9852454611312513,0.6247038918476624,4.77865673655707,1.7647017089721876e-06,0.00046121739665208817
SAMHD1,13.934111852085579,3.0545164762094323,0.6414178173857534,4.762132253604709,1.915580680415303e-06,0.0004833868765268685
RHPN1,75.76278380456654,1.7337091207195734,0.36496816130638887,4.750302367510172,2.0311271491303012e-06,0.0004954596159111849
NR2F2-AS1,64.95102665189066,-2.186731360915829,0.46791979536154793,-4.673303806747919,2.9639283163565927e-06,0.0006996783038418563
LRP4-AS1,27.770254267069067,-2.7218542687421676,0.5891007692901585,-4.6203542935818716,3.830853017213367e-06,0.0008245347758813948
RP11-317N12.1,80.70385642063303,-2.177758582792225,0.471308990911934,-4.6206599593580595,3.825212852762575e-06,0.0008245347758813948
DIO2,24.472322488753164,-2.849589246642923,0.6160400038562642,-4.625656172984173,3.734143121203714e-06,0.0008245347758813948
FRMD4A,67.51937510451816,-1.7738548399692904,0.38575223122832064,-4.598430537448722,4.256855947740948e-06,0.0008653242173768961
HES5,16.984751687485833,-3.9033247599183847,0.8479577904096024,-4.6032064379441575,4.160354738877415e-06,0.0008653242173768961
PRKX,23.36703883644496,2.3501758103413586,0.5152282504502183,4.5614265294803245,5.080725417464517e-06,0.0009784407527632982
NHSL1,181.98498342896426,-1.4143001179106296,0.309921007557819,-4.563421270004672,5.032668766230718e-06,0.0009784407527632982
CTD-2282P23.2,37.70598183468701,-2.216954299537793,0.48772163629512927,-4.545531989063273,5.479667370053031e-06,0.0010282104054884123
RASL10A,16.30787695740223,-3.964444975823855,0.8823690483367068,-4.492955621343425,7.024142651845727e-06,0.0012850668981551757
RP11-347C12.1,15.637557262790368,2.6648085131287176,0.5940713337305412,4.485670931796586,7.268484810384704e-06,0.0012931624359889381
GPC5,1209.0707245289425,-1.4330370085075232,0.31978736345732317,-4.481218372779034,7.4218122863535665e-06,0.0012931624359889381
ARHGAP39,21.121242239295032,2.3451076965494044,0.5255880332412197,4.46187422131263,8.124591176589484e-06,0.0013826920518670194
PLCE1,65.61332769151421,1.9766698471356636,0.4466519304921125,4.425526259245777,9.620745216658933e-06,0.0016001048521706834
MRAS,60.84619395332334,1.532258260881541,0.35106351060821794,4.3646184082957005,1.2734485698332897e-05,0.0020297540451296473
