,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAT1,62.176642871459215,-1.2061295991071097,0.4291262566609235,-2.8106637158306995,0.004943942930911653,0.1395650774922929
HAMP,13.101696761255821,2.159647506687436,0.7672149403400912,2.814918470865684,0.004878960985937621,0.1395650774922929
MIR99AHG,28.167938631295375,-1.6888200497120731,0.6023652195287829,-2.803648011140484,0.005052803423569929,0.14033754024818415
NEAT1,133.08360711539297,1.2545387785446345,0.45226012815625927,2.7739318600979606,0.005538327713734044,0.15138095750873054
VSIG4,20.60256564156401,1.8196372990339236,0.6717066375487368,2.7089762067475425,0.006749117962472539,0.17879970971350326
HSP90AB1,18.579213236561326,1.8083189460918083,0.6663598405638762,2.713727382733032,0.006653089197073241,0.17879970971350326
SNHG25,8.40094432196796,1.8999829000022865,0.7134673035462469,2.6630272901905028,0.007744113331011227,0.2020509569091111
AIF1,12.05337699968647,-1.7479104001906842,0.6598592513093839,-2.6489139869180267,0.008075088052364857,0.2075418153160042
GPC5,11.083928689592653,-2.0205167311474144,0.776632798452165,-2.601637138135705,0.009277996193170773,0.23109458788108753
MGAT1,7.714726450944682,1.9310436971054712,0.746245391851599,2.5876792248111937,0.009662491479348606,0.23109458788108753
CTA-29F11.1,8.295597358896611,-2.276465181974444,0.87920826888834,-2.589221760678819,0.009619312480287485,0.23109458788108753
SEPW1,10.484484094152487,2.064401328759134,0.7937348092554027,2.6008703469811723,0.009298758989508698,0.23109458788108753
RP11-707A18.1,19.94134537733097,-1.508249119179524,0.582229297730457,-2.5904727313769906,0.00958442145196311,0.23109458788108753
GAS6,9.130540257501167,1.9873582198276518,0.7821343067091356,2.5409423966959697,0.011055413198867279,0.2607865962801295
GPR183,11.887784659703748,-1.9854005632163338,0.7843757589387933,-2.531185519938103,0.011367770464656165,0.2645310910829448
CANX,9.295081551985884,1.8092361186707075,0.7180215909456071,2.519751691990226,0.011743764660365698,0.26963683660199644
ADGRB3,23.548178210109153,-1.3647947783832564,0.5469768394118868,-2.4951600873095336,0.01259003151411196,0.2824901100220924
ITM2B,36.42107712344379,-1.1652697032853983,0.467231427485469,-2.49398827805015,0.012631671586353725,0.2824901100220924
GFAP,15.416423827077013,2.0169567912052786,0.8108563023420656,2.487440481598934,0.012866598094648409,0.28405489639723797
CD86,21.910707453151772,-1.7421189286218348,0.7035246591435662,-2.4762727304293763,0.01327621194898171,0.2893878098246393
PTPRG,11.506552983697496,2.3248808282599764,0.9419257358251707,2.4682209433669127,0.013578647919142964,0.2922803964595523
HIST1H2AC,13.229901922596786,-1.654501548411512,0.6781126455169595,-2.4398624024334508,0.014692857114450966,0.312359258655365
CBWD5,12.890123191161488,1.4820217030182345,0.6105752005982878,2.427254990975784,0.01521355885942056,0.3170955819689355
ITPR2,96.93945756678109,-1.2478618255322274,0.5144590828822583,-2.4255803173715553,0.015283933393392362,0.3170955819689355
CRYAB,36.36900749496385,1.7236915204636878,0.7148601793614171,2.4112288951434633,0.01589886691279693,0.325926771712337
MEF2C,139.23923092779313,-1.1158782620798404,0.4643082472258822,-2.4033134641629026,0.01624725370021843,0.32915024555030753
SFMBT2,87.58417078520999,-1.0634071895296078,0.44831024004245595,-2.3720341284841067,0.017690456588016486,0.3537702970268362
NPAS3,25.724885209431548,-1.3040184912432906,0.5506299613312423,-2.3682301778323187,0.017873412219125872,0.3537702970268362
NOP58,7.697927360789683,2.3470714946687505,0.9957057461823285,2.357193883501971,0.018413630044121554,0.3603212606361058
APOC1,17.613884590008876,1.543105947063237,0.6568291300287179,2.3493262958598824,0.018807417217676297,0.3638918252678493
