,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BAG3,19.97815665911527,3.4310852044598166,0.932925510046107,3.6777697335023514,0.00023528221368081112,0.045668277675445436
CHDH,22.537705388861315,2.3248314035383855,0.6350789974958125,3.6606964058100733,0.0002515306568218279,0.04694432739338154
PHF19,30.428442390339015,1.9495799465842318,0.5325047133947547,3.661150591805139,0.00025108511532207205,0.04694432739338154
EPB41L4A,31.3460128281738,-1.8044479510772813,0.49404944491289904,-3.652363077536512,0.00025983814894008523,0.04757979689553825
MT3,347.67114013658266,1.811178185099751,0.49702016705117763,3.644073832749036,0.0002683563833066681,0.04822960555539286
GRIN2A,49.631495988281166,-1.6071023923562988,0.4426711664141185,-3.6304654883549743,0.00028291053308358155,0.04992084951956653
RP11-150D5.2,33.43857471574594,2.3240988648219245,0.6416358858497336,3.6221460115873434,0.00029216912183028794,0.05063395227433829
TRIM47,30.408884252963365,1.8219284986986557,0.5049070378572734,3.608443460068537,0.0003080396275162031,0.05244779973762721
NKAIN2,1558.8566616849694,-1.000029013798455,0.27813510389424423,-3.5954793184922744,0.0003237948525510109,0.053489181780508425
LSAMP,883.6820611710509,-1.0013728207868384,0.2785949009926707,-3.594368802942243,0.0003251789515765067,0.053489181780508425
AC007319.1,20.79991151302757,-2.1694782115112505,0.6060329788740895,-3.579802233769172,0.00034385434324521767,0.05561844001991396
NR2F2-AS1,20.28334721717047,-2.4289701571282296,0.6794944756169831,-3.5746724135214154,0.0003506666721523742,0.055790492676045765
AC093590.1,22.315324842284507,-2.0981610750219564,0.5880485348268305,-3.5680066367988257,0.00035970739534409797,0.05630581083571727
KCNH1,59.193668518694246,-1.4066222090812137,0.3949655946496509,-3.561379087535307,0.00036891199060082064,0.056830013790174036
AK5,552.5556889790853,-1.1496797012903701,0.32726853535066164,-3.512955194603452,0.00044315219972474346,0.06719987653638493
ECE1,63.691495814441375,1.5648275611164533,0.4487316487036896,3.4872235235401328,0.00048806325980542165,0.07176748388502449
AC144449.1,51.37657914371164,-1.5421099748205391,0.4418579240251428,-3.490058435011317,0.00048291493986948815,0.07176748388502449
SLC38A2,290.30412182739474,1.0722379041427372,0.30886047420327734,3.471593142206474,0.0005173798140385512,0.07494285216782297
HSPH1,90.7181144457794,2.044532768706855,0.5896952914187474,3.4671003795670723,0.0005261053817605277,0.07508606955861649
MICALL2,68.0266306171933,1.8514596759746855,0.5350686586288734,3.4602282270075326,0.000539717735550922,0.07591247280466229
GIT1,104.85437099888257,1.3182529429351955,0.38258143881096485,3.445679296497575,0.0005696259419852036,0.07687066026812622
SMOC1,72.40499586184144,1.3446431108729766,0.3902761482864869,3.4453632812987722,0.0005702923791143831,0.07687066026812622
HSP90AB1,433.3250028073964,1.4789428714578818,0.42890906917222854,3.448150150595235,0.000564440163262549,0.07687066026812622
ARHGAP24,63.19457046859427,-1.4600520342813073,0.42439127710595437,-3.440344118846693,0.0005809749934984947,0.0772378398890807
COLEC12,41.19450592571619,-1.7461969434772817,0.5081780952976654,-3.4361908937740546,0.0005899551305133497,0.07737181813016294
SLIT2,170.2931655273533,-1.2490951109833297,0.36457582430677227,-3.4261600131013594,0.0006121796241257115,0.07921604336186708
NACA2,19.14419312602397,2.398761288980754,0.7039376259743507,3.4076332908906863,0.0006552889503784296,0.08273825409893325
MT-ND4,684.7233833618233,1.7301397587651512,0.5077967326807798,3.407150238307622,0.0006564498264418197,0.08273825409893325
HSD17B4,216.5021869617002,-1.0398621649555106,0.30574143553441174,-3.4011162508539745,0.0006711128141676439,0.08350192130124338
LRRTM3,228.87505887724288,-1.139932712835905,0.33554611006270035,-3.3972460971843677,0.000680677219219953,0.08361990395607145
RP11-39M21.1,9.716834514114872,-3.0518397634954257,0.9008144813573012,-3.3878671209826354,0.0007043838048077174,0.08545056032073621
FCHSD2,616.5642492998699,-0.9735201245527124,0.28996229199792245,-3.3574025017007645,0.0007867848622585355,0.09241663850176593
RELA,50.40925625955726,2.1811666987106624,0.6499026027053418,3.3561439662360875,0.0007903741365941858,0.09241663850176593
LANCL1,423.3969242710634,-1.0103148471797971,0.30090162116750885,-3.3576251376105586,0.0007861514939058788,0.09241663850176593
SLC25A48,21.5091800682751,2.1746942773736637,0.6524989129286555,3.3328703455042317,0.0008595498817165208,0.09644298466038671
DHCR24,90.92715463769953,1.9618087196750695,0.5890965330812326,3.3301990582323606,0.0008678391829449514,0.09644298466038671
TCAP,14.52233308480814,3.5580964414259975,1.0701293576733173,3.3249218105389007,0.0008844333472204449,0.09644298466038671
PLOD3,95.05714438646083,1.6902962815183584,0.5062244962638502,3.339025064953308,0.0008407297798968395,0.09644298466038671
JADE2,46.590180599801364,1.6420637751103873,0.4934929812803071,3.3274308600099114,0.0008765073666454198,0.09644298466038671
RP11-347C12.1,24.008637821371835,1.9214277856205901,0.5777444114374464,3.3257401501124297,0.0008818409753398,0.09644298466038671
AC073283.4,77.58645876850771,1.3804198085417687,0.41645857185154556,3.3146629745295417,0.0009175367635225831,0.0981416880205917
RORA,199.17032837321793,-1.172499008827139,0.3538186677122963,-3.3138415686436975,0.0009202363328051359,0.0981416880205917
PICK1,71.14326705774907,1.4555222438979152,0.4401735144945692,3.306701098473005,0.0009440156351889115,0.09958338847291724
DNAJA1,84.03966655823147,1.664846011898803,0.5055421542611329,3.293189297600775,0.0009905775739467893,0.10337156295864075
LMCD1-AS1,293.8131877101617,-1.3027516590919037,0.3977181161667995,-3.2755652964662567,0.0010545073444103146,0.10887227422874578
PLGRKT,25.170202047819824,-1.7026427383916247,0.5218804835728991,-3.2625146790985338,0.0011042845363832576,0.11048537552164449
CHI3L1,16.513564563733755,3.3181980168839487,1.0168928451670471,3.2630753895597144,0.0011021019780938534,0.11048537552164449
CTC-498M16.4,12.006143679056038,-2.3934283440904847,0.7324158715081935,-3.2678542849732732,0.0010836614242111387,0.11048537552164449
SEZ6L2,31.070609429434885,1.5996612475667074,0.4916066014099451,3.2539458237111183,0.0011381398283528568,0.1118667348668084
SOWAHA,19.592157389162956,2.216903689816693,0.6814539180155692,3.25319677707986,0.0011411444360447224,0.1118667348668084
GPAT4,54.904839741920846,1.7213969990226685,0.530406412589044,3.2454302175950454,0.0011727330304229487,0.11381374060254716
KLF15,33.1984601349329,1.636410484122379,0.5057421978759754,3.235661352750479,0.001213612725364753,0.11661496534321711
KLF9,30.892843060176745,1.769492112870636,0.5474445677740455,3.2322763198939684,0.0012280823968590098,0.11684842805408518
DIO2-AS1,18.9993407985069,2.286653729069122,0.7087150313757575,3.226478383886214,0.001253236979342603,0.1180841250924268
RPS27,65.10040535455319,1.6618816629124673,0.5176282530496937,3.2105698503148012,0.001324720685290478,0.12361936779561623
CCDC117,24.004576344721688,2.151486325799947,0.6727813606809288,3.1978982349071114,0.0013843312316508978,0.12464341413067359
DDIT4,86.35758855514,1.312138612700641,0.4095711189213592,3.2036893034749885,0.0013567880973166854,0.12464341413067359
CTC-575N7.1,11.252005246849471,-2.325676105420672,0.7270455152704176,-3.1988040041147343,0.001379989520447558,0.12464341413067359
SMG5,51.91528221152197,1.5794420084945213,0.4940309180140715,3.197050935280804,0.0013884040753142687,0.12464341413067359
FAM107A,32.567877775522454,2.4514794275196303,0.767456894516955,3.1942894057426066,0.001401755160127298,0.12464341413067359
STAB1,15.632259482364114,2.9729864829886194,0.9313772261498299,3.192032615268561,0.0014127537923105712,0.12464341413067359
LDLRAD4,175.7680286349768,-1.006871445519612,0.31751418768187106,-3.1711069444507243,0.0015185922447817366,0.13158872978220315
TMPRSS5,79.89209951445487,1.9443522021491844,0.6130186057192779,3.171767029595786,0.0015151450135585114,0.13158872978220315
COL9A3,94.18419835609456,-1.1783054424289525,0.3733272279364732,-3.156226908339666,0.0015982447334966254,0.13726517821756415
WASH1,130.63235641147574,1.50812781464831,0.479946335852507,3.1422842555292987,0.001676352030732947,0.13957367409875313
DHX34,25.85788773097598,1.6316224226166585,0.519428750134078,3.1411862015637264,0.0016826501668783223,0.13957367409875313
OGFRL1,29.202407642755123,2.1528157216305943,0.6850916610921535,3.142376186857445,0.0016758257229474768,0.13957367409875313
ATG4B,110.96396238138199,1.0579352336403167,0.33609882846844596,3.1476909290674278,0.0016456559400059678,0.13957367409875313
KAT2A,117.28537128381458,1.3196236983700658,0.4213139290205779,3.1321625217513573,0.0017352379115051293,0.14271596551828203
TBC1D3P1-DHX40P1,38.042200493780406,1.9841202599644736,0.6343612355498942,3.127745121822497,0.0017615286541581027,0.1436608032655831
RANGAP1,110.4657472866009,1.7191751333973557,0.5507451611303986,3.1215437823707193,0.0017990549459478233,0.1450421824674321
QRICH2,16.453189380673773,2.6122020545916222,0.8372375406179441,3.120024996327352,0.0018083569375125488,0.1450421824674321
RP5-896L10.1,12.503239552377023,2.63630999827608,0.8480504595944163,3.1086711509323472,0.0018793076309314395,0.14780011410273036
MYO9B,167.8756250057505,1.0399063368787682,0.33492804426905365,3.1048649244892528,0.0019036593779331577,0.14780011410273036
